FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,HSIPTHEMES,NAICSCODE,NAICSDESCR,ST_VENDOR,WEBSITE,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,x2,y2
2321,KENOSHA COUNTY DIVISION OF HEALTH,262-605-6700,8600 SHERIDAN ROAD,SUITE 600,KENOSHA,WI,53143,6506,KENOSHA,55059,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.KENOSHA.WI.US/DHS/DIVISIONS/HEALTH/,WIDHS,LOCAL,0, ,-9776757.3954,5243621.9445
2322,WEDCO DISTRICT HEALTH DEPARTMENT,859-234-0340,302 ODDVILLE AVENUE, ,CYNTHIANA,KY,41031,1241,HARRISON,21097,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.WEDCOHEALTH.ORG/LOCATIONS.HTM#,TECHNIGRAPHICS,STATE,0, ,-9383210.2319,4635136.8315
2323,PEMISCOT COUNTY HEALTH CENTER,573-359-1656,810 EAST REED STREET, ,HAYTI,MO,63851,1241,PEMISCOT,29155,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://PEMISCOTHEALTHCENTER.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-9990015.0519,4333304.0172
2324,INDIANA STATE DEPARTMENT OF HEALTH,317-233-1325,2 NORTH MERIDIAN STREET, ,INDIANAPOLIS,IN,46204,3021,MARION,18097,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.IN.GOV/ISDH/,TECHNIGRAPHICS,STATE,0, ,-9591113.9081,4832199.7625
2325,KEWAUNEE COUNTY PUBLIC HEALTH,920-388-7160,510 KILBOURN STREET, ,KEWAUNEE,WI,54216,1344,KEWAUNEE,55061,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.KEWAUNEECO.ORG/PUBHEALTHLINKS/INDEX.HTM,WIDHS,LOCAL,0, ,-9741160.4343,5536443.1741
2326,SAINT FRANCIS PUBLIC HEALTH,414-481-2300,4235 SOUTH NICHOLSON AVENUE, ,SAINT FRANCIS,WI,53235,5802,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CI.STFRANCIS.WI.GOV/LOCALGOV_DEPARTMENTS_DETAILS.ASP?DEPTID=297&LOCID=168,WIDHS,LOCAL,0, ,-9781987.7269,5307001.5613
2327,MANITOWOC COUNTY HEALTH DEPARTMENT,920-683-4155,823 WASHINGTON STREET, ,MANITOWOC,WI,54220,4528,MANITOWOC,55071,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.MANITOWOC-COUNTY.COM/DEPARTMENT/DEPT_HOME.ASP?ID=17,WIDHS,LOCAL,0, ,-9758151.4496,5479170.791
2328,WEST ALLIS HEALTH DEPARTMENT,414-302-8600,7120 WEST NATIONAL AVENUE, ,WEST ALLIS,WI,53214,4732,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CI.WEST-ALLIS.WI.US/HEALTH/HEALTH_SERVICES.HTM,WIDHS,LOCAL,0, ,-9796362.1102,5313944.4148
2329,WESTERN RACINE COUNTY HEALTH DEPARTMENT,262-763-4930,156 EAST STATE STREET, ,BURLINGTON,WI,53105,1940,RACINE,55101,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.WRCHD.ORG/,WIDHS,LOCAL,0, ,-9826723.5789,5262935.5817
2330,WASHINGTON COUNTY HEALTH DEPARTMENT,262-335-4462,333 EAST WASHINGTON STREET,SUITE 1100,WEST BEND,WI,53095,2501,WASHINGTON,55131,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.WASHINGTON.WI.US/DEPARTMENTS.IML?MDL=DEPARTMENTS.MDL&ID=CHN,WIDHS,LOCAL,0, ,-9815633.7461,5377029.868
2331,WAUSHARA COUNTY HEALTH DEPARTMENT,920-787-6590,230 WEST PARK STREET, ,WAUTOMA,WI,54982,9031,WAUSHARA,55137,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.WAUSHARA.WI.US/PUBLIC_HEALTH.HTM,WIDHS,LOCAL,0, ,-9939674.0037,5476937.184
2332,SHAWANO COUNTY HEALTH DEPARTMENT,715-526-4808,311 NORTH MAIN STREET,COURTHOUSE ROOM 7,SHAWANO,WI,54166,2145,SHAWANO,55115,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SHAWANO.WI.US/DEPARTMENTS/?DEPARTMENT=5C6EDB95D748,WIDHS,LOCAL,0, ,-9864012.8947,5587651.686
2333,OUTAGAMIE COUNTY PUBLIC HEALTH DIVISION,920-832-5100,401 SOUTH ELM STREET, ,APPLETON,WI,54911,5900,OUTAGAMIE,55087,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.OUTAGAMIE.WI.US/PUBLICHEALTH/INDEX.HTM,WIDHS,LOCAL,0, ,-9841828.6343,5505512.3507
2334,PORTAGE COUNTY HEALTH AND HUMAN SERVICES,715-345-5350,817 WHITING AVENUE, ,STEVENS POINT,WI,54481,5246,PORTAGE,55097,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.PORTAGE.WI.US/HHSD/,WIDHS,LOCAL,0, ,-9971254.2478,5544076.8231
2335,RACINE CITY HEALTH DEPARTMENT,262-636-9201,730 WASHINGTON AVENUE, ,RACINE,WI,53403,1146,RACINE,55101,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CITYOFRACINE.ORG/DEPTS/HEALTH/,WIDHS,LOCAL,0, ,-9772735.9638,5270326.7094
2336,MARATHON COUNTY HEALTH DEPARTMENT,715-261-1900,1200 LAKE VIEW DRIVE,LAKEVIEW PROFESSIONAL PLAZA ROOM 200,WAUSAU,WI,54403,6707,MARATHON,55073,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.MARATHON.WI.US/DEP_DETAIL.ASP?DEP=20,WIDHS,LOCAL,0, ,-9978071.4112,5610805.375
2337,CITY OF MENASHA HEALTH DEPARTMENT,920-967-3520,316 RACINE STREET, ,MENASHA,WI,54952,2337,WINNEBAGO,55139,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CITYOFMENASHA-WI.GOV/CONTENT/DEPARTMENTS/HEALTH_DEPARTMENT/INDEX.PHP,WIDHS,LOCAL,0, ,-9845846.3368,5497339.6329
2338,MARQUETTE COUNTY HEALTH DEPARTMENT,608-297-3135,428 UNDERWOOD AVENUE, ,MONTELLO,WI,53949,9248,MARQUETTE,55077,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://CO.MARQUETTE.WI.US/HEALTH_DEPARTMENT/,WIDHS,LOCAL,0, ,-9945444.0068,5433735.5433
2339,WATERTOWN HEALTH DEPARTMENT,920-262-8090,515 SOUTH 1ST STREET, ,WATERTOWN,WI,53094,4409,JEFFERSON,55055,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CI.WATERTOWN.WI.US/HEALTH.HTML,WIDHS,LOCAL,0, ,-9876778.027,5341030.5989
2340,JUNEAU COUNTY HEALTH DEPARTMENT,608-847-9373,220 EAST STATE STREET,JUNEAU COUNTY COURTHOUSE ROOM 104,MAUSTON,WI,53948,1398,JUNEAU,55057,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.JUNEAU.WI.GOV/LOCALGOV_DEPARTMENTS_DETAILS.ASP?DEPTID=433&LOCID=151,WIDHS,LOCAL,0, ,-10027143.2791,5433973.1642
2341,OTTAWA COUNTY HEALTH DEPARTMENT,419-734-6800,1856 EAST PERRY STREET, ,PORT CLINTON,OH,43452,1497,OTTAWA,39123,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.OTTAWAHEALTH.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9229526.4964,5088349.8623
2342,LENAWEE COUNTY HEALTH DEPARTMENT,517-264-5202,1040 SOUTH WINTER STREET,LENAWEE COUNTY HUMAN SERVICES BUILDING SUITE 2328,ADRIAN,MI,49221,3876,LENAWEE,26091,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.LENAWEE.MI.US/HEALTH_DEPARTMENT,TECHNIGRAPHICS,LOCAL,0, ,-9355312.0591,5143448.5298
2343,PERRY COUNTY HEALTH DEPARTMENT,740-342-5179,212 SOUTH MAIN STREET, ,NEW LEXINGTON,OH,43764,1369,PERRY,39127,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.PERRYHEALTH.COM,TECHNIGRAPHICS,LOCAL,0, ,-9151223.7165,4824289.7914
2344,SENECA COUNTY GENERAL HEALTH DISTRICT,419-447-3691,71 SOUTH WASHINGTON STREET, ,TIFFIN,OH,44883,2351,SENECA,39147,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.SENECAHEALTHDEPT.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9259156.4957,5029389.4678
2345,LAFAYETTE COUNTY HEALTH DEPARTMENT,608-776-4895,729 CLAY STREET, ,DARLINGTON,WI,53530,1225,LAFAYETTE,55065,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.LAFAYETTECOUNTYHEALTHDEPARTMENT.ORG/,WIDHS,LOCAL,0, ,-10030940.3571,5263851.5885
2346,WOOD COUNTY HEALTH DEPARTMENT,715-421-8911,184 2ND STREET NORTH, ,WISCONSIN RAPIDS,WI,54494,4162,WOOD,55141,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.WOOD.WI.US/DEPARTMENTS/HEALTH/,WIDHS,LOCAL,0, ,-9998992.7964,5526355.6834
2347,SHEBOYGAN COUNTY HEALTH AND HUMAN SERVICES,920-459-4382,1011 NORTH 8TH STREET, ,SHEBOYGAN,WI,53081,4006,SHEBOYGAN,55117,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SHEBOYGAN.WI.US/HTML/D_HHS_PBLCHLTH.HTML,WIDHS,LOCAL,0, ,-9764111.9938,5427707.6888
2348,TREMPEALEAU COUNTY HEALTH DEPARTMENT,715-538-2311,36245 MAIN STREET, ,WHITEHALL,WI,54773,9139,TREMPEALEAU,55121,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.TREMPLOCOUNTY.COM/HEALTHDEPT/DEFAULT.ASP,WIDHS,LOCAL,0, ,-10165378.6188,5522402.1422
2349,MILWAUKEE CITY HEALTH DEPARTMENT,414-286-3521,841 NORTH BROADWAY,3RD FLOOR,MILWAUKEE,WI,53202,3613,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.MILWAUKEE.GOV/HEALTH,WIDHS,LOCAL,0, ,-9785970.4148,5318358.0773
2350,PORTSMOUTH CITY HEALTH DEPARTMENT,740-353-5153,605 WASHINGTON STREET, ,PORTSMOUTH,OH,45662,3919,SCIOTO,39145,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://PORTSMOUTHHEALTHDEPT.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-9239392.6583,4683796.523
2351,ROSS COUNTY HEALTH DISTRICT,740-779-9652,475 WESTERN AVENUE,ROSS COUNTY SERVICES CENTER SUITE A,CHILLICOTHE,OH,45601,2286,ROSS,39141,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.ROSSCOUNTYHEALTH.COM,TECHNIGRAPHICS,LOCAL,0, ,-9239897.6558,4769842.1911
2352,SAUK COUNTY PUBLIC HEALTH DEPARTMENT,608-355-3290,505 BROADWAY STREET,WEST SQUARE BUILDING,BARABOO,WI,53913, ,SAUK,55111,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SAUK.WI.US/DEPT/PH/INDEX.HTML,WIDHS,LOCAL,0, ,-9990338.5488,5383826.0197
2353,FRANKLIN HEALTH DEPARTMENT,414-425-9101,9229 WEST LOOMIS ROAD, ,FRANKLIN,WI,53132,9630,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.FRANKLINWI.GOV/DISPLAY/ROUTER.ASPX?DOCID=50,WIDHS,LOCAL,0, ,-9799330.8228,5296591.539
2354,GRANT COUNTY HEALTH DEPARTMENT,608-723-6416,111 SOUTH JEFFERSON STREET,FLOOR 2,LANCASTER,WI,53813,1672,GRANT,55043,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.CO.GRANT.WI.GOV/LOCALGOV_DEPARTMENTS_DETAILS.ASP?DEPTID=414&LOCID=147,WIDHS,LOCAL,0, ,-10097908.1586,5288827.5767
2355,CUDAHY HEALTH DEPARTMENT,414-769-2239,5050 SOUTH LAKE DRIVE, ,CUDAHY,WI,53110,2045,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CUDAHY-WI.GOV/CUDAHY/DEPARTMENTS/HEALTH/DEFAULT.ASP,WIDHS,LOCAL,0, ,-9779340.1109,5304779.1163
2356,GREENFIELD HEALTH DEPARTMENT,414-329-5275,7325 WEST FOREST HOME AVENUE, ,GREENFIELD,WI,53220,3356,MILWAUKEE,55079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://GREENFIELDWI.GOVOFFICE3.COM/INDEX.ASP?TYPE=B_BASIC&SEC={0D772539-34FC-463A-912A-E191B66023B5},WIDHS,LOCAL,0, ,-9796533.3732,5306714.6166
2357,RICHLAND COUNTY PUBLIC HEALTH OFFICE,608-647-8821,221 WEST SEMINARY STREET, ,RICHLAND CENTER,WI,53581,2358,RICHLAND,55103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.RICHLAND.WI.US/DEPARTMENTS/HHS/PUBLICHEALTH/INDEX.HTML,WIDHS,LOCAL,0, ,-10061837.8031,5363005.7072
2358,OZAUKEE COUNTY PUBLIC HEALTH DEPARTMENT,262-284-8170,121 WEST MAIN STREET, ,PORT WASHINGTON,WI,53074,1813,OZAUKEE,55089,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.OZAUKEE.WI.US/PUBLICHEALTH/INDEX.HTML,WIDHS,LOCAL,0, ,-9781794.2315,5371254.9616
2359,GASCONADE-OSAGE COUNTY HEALTH DEPARTMENT,573-486-3129,300 SCHILLER STREET, ,HERMANN,MO,65041,1154,GASCONADE,29073,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.GASCONHEALTH.COM/,TECHNIGRAPHICS,LOCAL,0, ,-10178560.6839,4679498.1989
2360,HAYWOOD COUNTY HEALTH DEPARTMENT,828-452-6675,2177 ASHEVILLE ROAD, ,WAYNESVILLE,NC,28786,3139,HAYWOOD,37087,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HAYWOODNC.NET/INDEX.PHP?OPTION=COM_CONTENT&VIEW=ARTICLE&ID=92&ITEMID=87,TECHNIGRAPHICS,LOCAL,0, ,-9235600.0468,4232781.5164
2361,MCDOWELL COUNTY HEALTH DEPARTMENT,828-652-6811,140 SPAULDING ROAD, ,MARION,NC,28752,5172,MCDOWELL,37111,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://MAIN.NC.US/MCDOWELL/HEALTHDEPT2.HTM,TECHNIGRAPHICS,LOCAL,0, ,-9131486.3332,4254858.6049
2362,MONTGOMERY COUNTY HEALTH DEPARTMENT,765-364-6440,110 SOUTH BOULEVARD, ,CRAWFORDSVILLE,IN,47933, ,MONTGOMERY,18107,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.MONTGOMERYCO.NET/DEPARTMENT/?FDD=8-0,INDOH,LOCAL,0, ,-9674036.7551,4869641.5158
2363,JESSAMINE COUNTY HEALTH DEPARTMENT,859-885-4149,215 EAST MAPLE STREET, ,NICHOLASVILLE,KY,40356,1203,JESSAMINE,21113,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.JESSAMINECOHEALTHDEPT.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-9414412.8646,4562591.8059
2364,JOHNSON COUNTY PUBLIC HEALTH,319-356-6040,855 SOUTH DUBUQUE STREET,SUITE 217,IOWA CITY,IA,52240,4205,JOHNSON,19103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.JOHNSON-COUNTY.COM/DEPT_HEALTH.ASPX?ID=4485,TECHNIGRAPHICS,LOCAL,0, ,-10189512.914,5108899.2367
2365,SPENCER COUNTY HEALTH DEPARTMENT,812-649-4441,200 MAIN STREET,SPENCER COUNTY COURTHOUSE,ROCKPORT,IN,47635,1492,SPENCER,18147,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://SPENCERCOUNTY.IN.GOV/PAGES.CFM?DEPARTMENTID=403,INDOH,LOCAL,0, ,-9689986.1429,4562856.9124
2366,POSEY COUNTY HEALTH DEPARTMENT,812-838-1328,126 EAST 3RD STREET,2ND FLOOR,MOUNT VERNON,IN,47620,1876,POSEY,18129,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,INDOH,LOCAL,0, ,-9784405.7428,4569807.8286
2367,BUNCOMBE COUNTY HEALTH CENTER,828-250-5000,35 WOODFIN STREET, ,ASHEVILLE,NC,28801,3020,BUNCOMBE,37021,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.BUNCOMBECOUNTY.ORG/GOVERNING/DEPTS/HEALTH/DEFAULT.ASP,TECHNIGRAPHICS,LOCAL,0, ,-9189285.6216,4245411.0345
2368,TIPTON COUNTY HEALTH DEPARTMENT,765-675-8741,101 EAST JEFFERSON STREET, ,TIPTON,IN,46072,1940,TIPTON,18159,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.TIPTONCOUNTY.IN.GOV/COUNTYOFFICES/HEALTHDEPARTMENT/TABID/244/DEFAULT.ASPX,INDOH,LOCAL,0, ,-9578011.9671,4906943.7355
2369,LINCOLN COUNTY HEALTH DEPARTMENT,931-433-3231,1000 WASHINGTON STREET WEST, ,FAYETTEVILLE,TN,37334,2872,LINCOLN,47103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-9638408.975,4185003.0678
2370,MORGAN COUNTY HEALTH DEPARTMENT,765-342-6621,180 SOUTH MAIN STREET,SUITE 252,MARTINSVILLE,IN,46151,1988,MORGAN,18109,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.MORGANCOUNTYHEALTH.COM,INDOH,LOCAL,0, ,-9621224.8002,4782767.8872
